"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.700209259986877,1.19267356395721,0.87458735704422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.01759600639343,0.338867694139481,0.498438358306885,-1.26375889778137,1.58235561847687,-1.05908060073853,-1.15635752677917,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820891559123993,NA,1.44061434268951,NA,NA,-0.117810934782028,0.280338943004608,NA,NA,NA,NA,NA,NA,-2.57741117477417,0.0430640429258347,0.069687157869339,-0.883006870746613,1.68737697601318,-1.41852068901062,-1.58362555503845,-2.90299272537231,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01260781288147,NA,0.737417697906494,NA,NA,-0.152840375900269,NA,NA,NA,NA,NA,NA,NA,-0.896080613136292,-0.301101326942444,0.108543410897255,-1.4306708574295,NA,-1.8458263874054,-1.75538635253906,-2.27526044845581,-0.958667099475861,1.49233210086823,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0345964655280113,NA,-0.340799421072006,NA,1.46544814109802,NA,NA,NA,NA,-0.81995689868927,NA,NA,-0.209704786539078,-0.782104015350342,NA,-0.139774471521378,-1.9706723690033,-0.366589576005936,-2.05178999900818,-2.06590008735657,NA,-2.99618697166443,2.67399120330811,-2.17620253562927,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.496010571718216,0.0173475444316864,0.702413201332092,NA,2.52349138259888,2.29392027854919,NA,NA,NA,-1.06285011768341,NA,NA,-0.644550323486328,-0.972721815109253,NA,-0.518832564353943,0.49742978811264,0.0854275152087212,-1.61755752563477,-1.95478391647339,-3.21332192420959,NA,NA,-1.90819728374481,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.287723422050476,NA,1.0363438129425,NA,1.6026064157486,-0.904516696929932,NA,NA,NA,NA,NA,-0.0683319270610809,-0.793937146663666,-0.905103385448456,-0.370760440826416,-1.51215481758118,-0.309397339820862,-1.79173874855042,-1.71658754348755,-1.75749015808105,NA,-0.770618319511414,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187060445547104,NA,0.358862459659576,NA,1.42006301879883,-1.47153091430664,NA,NA,NA,NA,-0.25652939081192,1.21952843666077,-0.994137763977051,-0.968102991580963,-0.915302276611328,-1.72719526290894,-1.17569851875305,-1.74551904201508,-1.69100892543793,-0.787121891975403,-1.11858892440796,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225510597229004,NA,-0.718588590621948,NA,NA,NA,NA,-1.60361695289612,0.668210029602051,NA,-0.901991724967957,-0.404600918292999,-1.00587463378906,-1.05856418609619,-1.06248068809509,-1.38291490077972,-2.13539004325867,-1.75549912452698,-1.19178593158722,-1.93319511413574,-0.389034956693649,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.611729502677917,-0.236514002084732,-0.96346253156662,-0.697812438011169,-1.62877249717712,-0.874772369861603,-1.79943454265594,NA,NA,NA,-0.83077347278595,0.0239963531494141,-1.53165698051453,-1.16931223869324,-1.53845047950745,-2.02596426010132,-1.95647382736206,-1.07484376430511,-0.908929347991943,-1.33748531341553,-0.329051703214645,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138427764177322,-0.629509806632996,-1.33970701694489,NA,NA,NA,NA,NA,-1.50238013267517,-0.903427302837372,-1.47130441665649,-1.83073973655701,-1.18253898620605,-1.60329973697662,-1.82096350193024,-1.48468208312988,-0.357934266328812,-0.185395017266273,-0.763181328773499,NA,NA,NA,NA,NA,NA
