"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",NA,NA,NA,NA,NA,NA,NA,NA,-1.40105950832367,-1.8968151807785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.200023606419563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06672930717468,-0.0972015857696533,0.347333788871765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13997399806976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88343870639801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709920227527618,0.89195191860199,0.137734994292259,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0287033170461655,-0.0596355497837067,NA,NA,NA,NA,NA,NA,NA,0.0997011363506317,1.32232904434204,NA,-0.421937048435211,0.603407561779022,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291827529668808,0.403253942728043,0.316774874925613,-0.412643015384674,0.109507352113724,0.506807088851929,-0.372583568096161,NA,NA,NA,NA,-0.195485219359398,-0.11126084625721,NA,NA,-0.540904223918915,0.239152699708939,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1365926861763,-0.0160934031009674,0.198647290468216,NA,NA,NA,NA,NA,NA,NA,NA,0.261933535337448,1.61957550048828,-0.0172053575515747,NA,NA,NA,NA,0.922889769077301,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,0.201982110738754,-0.464448094367981,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0426124781370163,0.14329768717289,0.860311686992645,0.73074734210968,0.212878435850143,-0.843546211719513,-0.2105702906847,1.02782344818115,0.586174786090851,0.485087186098099,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,-0.0312985703349113,-0.471680343151093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663684010505676,1.32620394229889,0.333057224750519,1.24853086471558,-1.5884473323822,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,0.43932569026947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.08387899398804,NA,NA,NA,NA,2.62692022323608,0.373826920986176,1.70221388339996,0.224680438637733,0.90903639793396,-1.40350198745728,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,0.175062149763107,-0.0131750144064426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82824063301086,-0.853890776634216,0.231031224131584,0.956456899642944,1.09723782539368,NA,-0.148333072662354,1.11273384094238,1.44002294540405,-2.07632946968079,-0.97786545753479,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,0.470711588859558,NA,NA,NA,NA,NA,-1.56867623329163,-1.66799485683441,-1.90580570697784,NA,-0.14146563410759,0.61008608341217,0.446095108985901,NA,NA,NA,NA,-0.397907733917236,-1.45341753959656,0.371095478534698,-0.985751986503601,-0.986951112747192,-2.41349172592163,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,0.606541872024536,NA,NA,NA,-1.98151278495789,-1.09650409221649,-1.88730359077454,-0.887754499912262,-1.34026837348938,-0.296272844076157,0.511600017547607,NA,NA,NA,NA,NA,NA,-0.667733788490295,-0.720860779285431,-1.64967632293701,-1.472163438797,-1.67215299606323,-2.0149393081665,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,0.570705056190491,NA,NA,-1.23907029628754,-1.89687061309814,-1.34538340568542,-1.18504643440247,-0.763658463954926,-0.500479221343994,-0.112895160913467,-0.297667026519775,NA,NA,NA,NA,-0.11940561234951,0.348721355199814,-0.266193091869354,-1.19890427589417,-1.45271897315979,-1.31479811668396,-1.44896745681763,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,-0.188987359404564,-0.195361599326134,-1.76485228538513,NA,NA,-1.17202234268188,-0.251204401254654,0.343957811594009,NA,NA,0.0307393819093704,NA,NA,NA,NA,-0.252590298652649,-0.248980641365051,-0.962331175804138,-0.711380481719971,-0.803955018520355,-2.32445788383484,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,0.285573303699493,-0.46976700425148,-1.04368686676025,NA,NA,NA,-0.634255051612854,-0.669796824455261,-0.115201495587826,0.61604118347168,1.80428528785706,-0.172786429524422,NA,NA,NA,-0.123045682907104,-0.39558133482933,-0.618252336978912,-0.509093880653381,-0.385419934988022,-0.48024109005928,-0.193023711442947,0.384113132953644,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,0.873585283756256,-0.690285623073578,-0.663486838340759,-1.34790933132172,-0.664614260196686,-0.47164461016655,NA,0.160694599151611,NA,0.421598047018051,NA,-0.79916250705719,NA,NA,NA,0.140540957450867,-0.588988959789276,-0.129930853843689,-0.0578613243997097,-0.54950362443924,-0.45339423418045,-0.583563268184662,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,0.479990899562836,-0.2088662981987,NA,NA,NA,0.407562851905823,-0.610680997371674,0.666772425174713,NA,NA,NA,NA,NA,NA,NA,-0.81755656003952,-0.960132360458374,-1.25188112258911,-0.545175313949585,-1.16362416744232,-0.236036717891693,-1.16451716423035,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,0.0410246811807156,-0.0946716889739037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.841559290885925,-0.0707955062389374,-0.198750674724579,NA,0.703764200210571,-0.364534914493561,-0.642385840415955,-0.360078394412994,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,0.434636861085892,-0.103671319782734,-0.0587968528270721,-0.0827816128730774,NA,-0.682090520858765,NA,NA,NA,NA,NA,NA,NA,0.439192801713943,0.208709344267845,-0.0844288170337677,-0.241045340895653,0.308379799127579,0.641725540161133,-0.596673846244812,-0.233128815889359,1.16998028755188,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,0.501934349536896,0.075073815882206,NA,-0.580930233001709,-0.850807189941406,-1.2052059173584,0.45302277803421,NA,NA,NA,NA,NA,NA,0.400196522474289,-0.0270028859376907,NA,-0.0422642529010773,-0.406418055295944,NA,-0.481646031141281,0.0732516050338745,0.778505623340607,3.78494644165039,NA,NA,NA,-0.291005611419678,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,0.6297527551651,0.171687409281731,-1.43856000900269,-2.34999918937683,-2.5887131690979,-0.869030833244324,NA,NA,NA,NA,NA,NA,NA,0.273750573396683,0.369105041027069,0.571723580360413,0.392492353916168,NA,NA,-0.630293905735016,-1.29755282402039,-0.146419867873192,2.67642068862915,NA,1.34265160560608,0.0496056750416756,NA,NA,NA,NA
